m30,BTR,FET,FDT,SHR,GRS,CRP
61782,0,0.059,0,4.647,39.069,2.356
61783,0,0.186,0,5.685,47.697,2.917
61784,0,0.33,0,5.932,49.553,2.98
61785,0.002,0.573,0.001,6.357,51.806,3.274
61786,0,0.292,0,5.572,45.417,2.668
61787,0,0.106,0,5.398,45.366,2.804
61788,0,0.082,0,5.501,46.227,2.802
61789,0,0.088,0,5.519,46.259,2.823
61790,0,0.102,0,5.551,46.826,2.914
61791,0,0.096,0,5.727,47.996,2.952
61792,0,0.034,0,5.212,44.052,2.727
61793,0,0.001,0,4.879,41.416,2.561
61794,0,0.004,0,5.073,42.506,2.539
61795,0,0.152,0,5.652,47.223,2.866
61796,0,0.419,0,6.104,50.665,2.998
61797,0.003,1.121,0.002,7.001,57.458,3.687
61798,0,2.288,0,9.623,58.154,7.821
61799,0.104,4.221,0.082,14.683,47.433,19.875
61800,1.288,11.695,1.024,19.907,34.896,25.011
61801,7.573,19.671,5.271,32.841,16.643,9.547
61802,10.055,14.538,5.494,30.789,23.362,6.642
61803,9.835,6.932,4.806,22.04,35.032,14.465
61804,8.143,5.339,3.322,17.726,37.625,18.728
61805,2.538,3.113,1.232,12.671,41.373,23.393
61806,0.357,1.909,0.259,6.541,32.454,35.618
61807,0.623,2.72,0.411,4.715,11.714,62.892
61808,0.342,2.786,0.25,5.485,14.087,47.339
61809,0.763,7.791,0.63,10.069,25.325,34.722
61810,0.61,4.233,0.506,4.552,12.421,62.175
61811,0.742,3.348,0.556,4.957,14.384,63.676
61812,0.418,2.85,0.325,4.776,12.904,68.691
61813,0.595,3.134,0.438,4.597,8.986,75.681
61814,0.488,2.297,0.358,4.783,9.234,76.366
61815,1.61,4.069,1.029,5.221,9.991,72.056
61816,16.816,9.519,6.564,18.021,15.414,24.552
61817,32.392,11.568,11.352,12.531,9.11,9.083
61818,25.186,28.639,13.999,8.897,5.965,0.435
61819,25.172,19.246,12.067,15.5,10.896,2.605
61820,25.219,21.005,12.223,14.604,10.073,2.293
61821,8.569,9.847,3.953,11.749,11.098,45.342
61822,1.074,8.026,0.796,4.148,8.179,65.978
61823,0.553,5.198,0.392,4.301,8.562,69.221
61824,0.36,6.466,0.266,4.336,8.648,69.467
61825,0.482,6.558,0.316,4.521,8.777,68.288
61826,0.196,8.788,0.168,4.596,8.816,72.904
61827,2.511,14.755,1.449,5.689,8.622,61.588
61828,4.295,14.617,2.832,10.159,10.124,51.657
61829,7.565,16.612,4.201,10.411,11.203,30.469
61830,28.183,24.354,14.694,6.576,4.884,3.402
61831,32.878,22.742,16.049,6.255,4.106,0.082
61832,30.81,23.784,15.891,7.188,4.702,0.013
61833,27.43,28.043,15.226,6.962,4.659,0.016
61834,6.301,58.116,4.866,8.183,5.061,0.196
61835,2.888,67.306,2.262,5.923,3.514,0.095
61836,2.983,59.832,2.378,9.337,7.656,0.596
61837,18.378,33.394,11.201,11.957,8.602,0.789
61838,8.907,22.173,5.787,8.105,6.953,2.515
