m30,BTR1,FET1,FDT1,SHR1,GRS1,CRP1,AVE1
18898,128,6373,8,11156,1129,12,110.2
18899,128,25,8,11156,1129,4,0.1
18900,128,25,8,11156,1129,12,7.8
18902,128,25,8,11156,1129,12,16.4
18903,128,6373,8,11156,1129,12,172.3
18904,128,25,8,11156,1129,12,27.6
18905,128,6373,8,11156,1129,12,271.2
18906,128,25,8,11156,1120,12,97
18907,128,6373,8,11156,1129,12,63
18908,128,25,8,11156,1129,4,0.1
18911,128,25,8,11156,1129,4,1.7
18912,128,25,8,11156,1129,12,13.7
18913,128,25,8,11156,1129,12,7.3
18914,128,25,8,9105,767,12,6.2
18915,128,6373,8,11156,1129,12,8
18916,128,25,8,10772,1068,12,3.5
18917,128,25,8,11156,1129,4,5.4
18918,128,6373,8,11156,1129,12,28.7
18938,128,153,8,11156,1129,12,93.4
18939,128,153,8,11156,1129,12,261.6
18940,128,153,8,9618,979,12,21.6
18941,128,153,8,11156,1129,12,205.1
18942,128,127,8,11156,1129,12,48.1
18943,128,153,8,11156,1129,12,214.8
18944,128,153,8,10900,1111,12,97.2
18946,128,25,8,0,0,4,0
19034,128,0,8,0,0,12,0
19035,128,25,8,11156,1129,12,2.1
19036,128,153,8,10644,1054,12,302.4
19037,128,127,8,10644,1092,12,264.5
19038,128,153,8,7694,842,12,37.4
19039,128,102,8,7438,904,12,24.5
19040,128,25,8,2436,174,12,8.3
19041,128,25,8,2565,198,12,13
19042,128,25,8,9618,866,12,243.6
19043,128,51,8,8720,786,12,173.4
19044,128,25,8,10644,1073,12,104.7
19112,128,637,8,5899,1106,12,155.9
19113,128,637,8,4745,852,12,37.6
19114,128,765,8,4873,936,12,40.3
19115,128,765,8,128,5,4,0
19130,128,25,8,0,0,12,0
19131,128,25,8,1924,174,12,6.2
19212,128,25,8,6412,1129,12,0.8
19215,128,25,8,6412,1129,4,0.2
19216,128,25,8,6412,1129,12,2.8
19217,128,25,8,6412,1129,12,1
19218,128,765,8,3847,682,12,7.7
19269,128,25,8,0,0,12,0
19270,128,25,8,0,0,12,0
19271,128,25,8,0,0,12,0
19272,128,25,8,513,245,12,3.1
19273,128,25,8,2436,278,12,34.6
19275,128,0,8,0,0,12,0
19276,128,0,8,0,0,12,0
19282,128,0,8,1795,612,12,4.1
19283,128,510,8,4360,758,12,1504.8
19284,128,765,8,6412,1120,12,3044.4
19285,128,765,8,6412,1129,12,3095.4
19286,128,765,8,6412,1129,12,1796.6
19287,128,765,8,6412,1129,12,512
19288,128,765,8,6412,1129,12,601.9
19289,128,765,8,6412,1129,12,1127
19290,128,765,8,6412,1129,12,1635
19291,128,765,8,6412,1129,12,839.9
19292,128,765,8,6412,1129,12,329.7
19293,128,739,8,6155,1115,12,375.4
19294,128,739,8,5642,988,12,560.9
19295,128,765,8,5899,1087,12,134.5
19296,128,612,8,6027,1073,12,34.5
19297,128,714,8,5771,1031,12,532.2
19298,128,765,8,6412,1129,12,641.5
19299,128,765,8,6412,1129,12,919.3
19300,128,765,8,6412,1125,12,998.4
19301,128,765,8,6412,1111,12,1268.7
19302,128,765,8,6412,1129,12,1250.8
19303,128,765,8,6412,1125,12,1112.2
19304,128,765,8,6412,1129,12,575.9
19305,128,637,8,5129,889,12,226.8
19306,128,25,8,6412,1129,12,10.5
19555,128,25,8,11156,1129,12,12.9
19556,128,25,8,11156,1129,12,47.6
19557,128,25,8,11156,1129,12,47.8
19558,128,25,8,11156,1129,12,116.5
19559,128,25,8,11028,1125,12,277
19560,128,6373,8,11156,1129,12,496.6
19561,128,6373,8,11156,1129,12,215.8
19562,128,6373,8,11156,1129,12,580.8
19563,128,6373,8,11156,1129,12,409.8
19564,128,25,8,10900,1115,12,6.6
19565,128,6373,8,11156,1120,12,848.3
19566,128,6373,8,11156,1129,12,742.8
19567,128,6169,8,10387,1111,12,67.2
